,smoothness_flatfield,smoothness_darkfield,sparse_cost_darkfield,fitting_mode,sort_intensity,channel_index,use_weight,rep,entropy,fourier_L0_norm,autotune_cost
0,0.001,0.001,0.001,ladmap,False,2,False,0,3.399782195964368,0.38896189224704336,3883.0187046663978
1,0.001,0.001,0.001,ladmap,False,2,False,1,3.387222506286342,0.38699080157687255,3863.295238275012
2,0.001,0.001,0.001,ladmap,False,2,False,2,3.390549012498504,0.38942028542615287,3887.593403274027
3,0.001,0.001,0.001,ladmap,False,2,False,3,3.3765181179834616,0.38725055771170125,3865.8820952349956
4,0.001,0.001,0.001,ladmap,False,2,False,4,3.376617502723971,0.3844237997738594,3837.6146152413176
5,0.001,0.001,0.046415888336127795,ladmap,False,2,False,0,3.323507407460263,0.39388197903615196,3932.1432977689797
6,0.001,0.001,0.046415888336127795,ladmap,False,2,False,1,3.32291943635953,0.3935458240381383,3928.7811598177427
7,0.001,0.001,0.046415888336127795,ladmap,False,2,False,2,3.327458374962966,0.3927512758610152,3920.840216985115
8,0.001,0.001,0.046415888336127795,ladmap,False,2,False,3,3.3268442641407647,0.39178865018488523,3911.213346112993
9,0.001,0.001,0.046415888336127795,ladmap,False,2,False,4,3.327227063247887,0.39388197903615196,3932.1470174247675
10,0.001,0.001,2.1544346900318843,ladmap,False,2,False,0,3.324165514043239,0.38501971090670173,3843.5212745810604
11,0.001,0.001,2.1544346900318843,ladmap,False,2,False,1,3.32210163982081,0.3843168413654005,3836.490515293826
12,0.001,0.001,2.1544346900318843,ladmap,False,2,False,2,3.322131590160172,0.3850349906793387,3843.6720383835473
13,0.001,0.001,2.1544346900318843,ladmap,False,2,False,3,3.322296670812284,0.3851113895425236,3844.436192096048
14,0.001,0.001,2.1544346900318843,ladmap,False,2,False,4,3.3223642390022774,0.38648656907985207,3858.1880550375226
15,0.001,0.001,100.0,ladmap,False,2,False,0,3.323671432966116,0.3853711456773523,3847.035128206489
16,0.001,0.001,100.0,ladmap,False,2,False,1,3.3225607685370204,0.385615622039544,3849.4787811639776
17,0.001,0.001,100.0,ladmap,False,2,False,2,3.3218772253729285,0.38576841976591386,3851.0060748845117
