,smoothness_flatfield,smoothness_darkfield,sparse_cost_darkfield,fitting_mode,sort_intensity,channel_index,use_weight,rep,entropy,fourier_L0_norm,autotune_cost
0,0.001,0.001,0.001,ladmap,False,2,True,0,3.274956676030484,0.3928582342694741,3921.857299370771
1,0.001,0.001,0.001,ladmap,False,2,True,1,3.2767173229642563,0.3906273874644745,3899.550591967709
2,0.001,0.001,0.001,ladmap,False,2,True,2,3.2757267000926897,0.3876172722549888,3869.4484492499805
3,0.001,0.001,0.001,ladmap,False,2,True,3,3.273300714913577,0.3920942456376249,3914.2157570911627
4,0.001,0.001,0.001,ladmap,False,2,True,4,3.2735876738033416,0.3939278183540629,3932.551771214432
5,0.001,0.001,0.046415888336127795,ladmap,False,2,True,0,3.2365589593077297,0.33948598844849187,3388.0964434442267
6,0.001,0.001,0.046415888336127795,ladmap,False,2,True,1,3.2360607526837875,0.34303089570027195,3423.5450177554035
7,0.001,0.001,0.046415888336127795,ladmap,False,2,True,2,3.2362790407360555,0.34373376524157323,3430.5739314564685
8,0.001,0.001,0.046415888336127795,ladmap,False,2,True,3,3.2359584126360454,0.3503346270207499,3496.582228620135
9,0.001,0.001,0.046415888336127795,ladmap,False,2,True,4,3.2356480207468135,0.3545212847232833,3538.44849525358
10,0.001,0.001,2.1544346900318843,ladmap,False,2,True,0,3.234479518483459,0.28854322647679004,2878.666744286384
11,0.001,0.001,2.1544346900318843,ladmap,False,2,True,1,3.2348537961809876,0.28854322647679004,2878.6671185640816
12,0.001,0.001,2.1544346900318843,ladmap,False,2,True,2,3.2341091631572927,0.290392078965865,2897.1548988218074
13,0.001,0.001,2.1544346900318843,ladmap,False,2,True,3,3.2340149624194705,0.287672279436482,2869.9568093272396
14,0.001,0.001,2.1544346900318843,ladmap,False,2,True,4,3.234560982470993,0.29150750236836476,2908.3095846661186
15,0.001,0.001,100.0,ladmap,False,2,True,0,3.2343818850309294,0.29159918100418664,2909.226191926897
16,0.001,0.001,100.0,ladmap,False,2,True,1,3.234512344234644,0.28987256669620753,2891.96017930631
17,0.001,0.001,100.0,ladmap,False,2,True,2,3.23412999990436,0.29043791828377596,2897.613312837664
18,0.001,0.001,100.0,ladmap,False,2,True,3,3.2344050357289538,0.2929132414509672,2922.3668195454006
19,0.001,0.001,100.0,ladmap,False,2,True,4,3.2346668042722477,0.2931882773584329,2925.117440388601
20,0.001,0.046415888336127795,0.001,ladmap,False,2,True,0,3.279463710522165,0.29679430370076093,2961.2225007181314
21,0.001,0.046415888336127795,0.001,ladmap,False,2,True,1,3.276111437344588,0.29402866485346696,2933.562759972014
22,0.001,0.046415888336127795,0.001,ladmap,False,2,True,2,3.276478871162083,0.2946704153042203,2939.980631913365
23,0.001,0.046415888336127795,0.001,ladmap,False,2,True,3,3.277237445782353,0.29207285395593313,2914.0057770051135
24,0.001,0.046415888336127795,0.001,ladmap,False,2,True,4,3.2750777800058657,0.2939064266723711,2932.3393445037173
25,0.001,0.046415888336127795,0.046415888336127795,ladmap,False,2,True,0,3.2352435813616847,0.29622895211319256,2955.5247647132874
26,0.001,0.046415888336127795,0.046415888336127795,ladmap,False,2,True,1,3.234720179122769,0.2926382055435015,2919.6167756141376
27,0.001,0.046415888336127795,0.046415888336127795,ladmap,False,2,True,2,3.2357658976704298,0.2926382055435015,2919.6178213326853
28,0.001,0.046415888336127795,0.046415888336127795,ladmap,False,2,True,3,3.2352616924086095,0.29025456101213215,2895.7808718137303
29,0.001,0.046415888336127795,0.046415888336127795,ladmap,False,2,True,4,3.235643798629448,0.2916144607768236,2909.380251566866
30,0.001,0.046415888336127795,2.1544346900318843,ladmap,False,2,True,0,3.2354808228195706,0.28981144760565963,2891.349956879416
31,0.001,0.046415888336127795,2.1544346900318843,ladmap,False,2,True,1,3.234052979782368,0.2901628823763102,2894.8628767428845
32,0.001,0.046415888336127795,2.1544346900318843,ladmap,False,2,True,2,3.234551857187439,0.2911866271429881,2905.1008232870686
33,0.001,0.046415888336127795,2.1544346900318843,ladmap,False,2,True,3,3.234374480320389,0.2906823946459677,2900.058320939997
34,0.001,0.046415888336127795,2.1544346900318843,ladmap,False,2,True,4,3.2339758649439965,0.28971976896983775,2890.4316655633215
35,0.001,0.046415888336127795,100.0,ladmap,False,2,True,0,3.2347436778010863,0.29098799009870735,2903.1146446648745
36,0.001,0.046415888336127795,100.0,ladmap,False,2,True,1,3.234780706883729,0.29026984078476914,2895.933188554575
37,0.001,0.046415888336127795,100.0,ladmap,False,2,True,2,3.2347668576691553,0.29004064419521436,2893.6412088098127
