,true_flatfield_id,intensity,ave_count,n_images,blob_dist_key,rep
0,0,10,10,10,biased,0
1,0,10,10,10,biased,1
2,0,10,10,10,biased,2
3,0,10,10,10,biased,3
4,0,10,10,10,biased,4
5,0,10,10,10,unbiased,0
6,0,10,10,10,unbiased,1
7,0,10,10,10,unbiased,2
8,0,10,10,10,unbiased,3
9,0,10,10,10,unbiased,4
10,0,10,10,30,biased,0
11,0,10,10,30,biased,1
12,0,10,10,30,biased,2
13,0,10,10,30,biased,3
14,0,10,10,30,biased,4
15,0,10,10,30,unbiased,0
16,0,10,10,30,unbiased,1
17,0,10,10,30,unbiased,2
18,0,10,10,30,unbiased,3
19,0,10,10,30,unbiased,4
20,0,10,10,100,biased,0
21,0,10,10,100,biased,1
22,0,10,10,100,biased,2
23,0,10,10,100,biased,3
24,0,10,10,100,biased,4
25,0,10,10,100,unbiased,0
26,0,10,10,100,unbiased,1
27,0,10,10,100,unbiased,2
28,0,10,10,100,unbiased,3
29,0,10,10,100,unbiased,4
30,0,10,10,300,biased,0
31,0,10,10,300,biased,1
32,0,10,10,300,biased,2
33,0,10,10,300,biased,3
34,0,10,10,300,biased,4
35,0,10,10,300,unbiased,0
36,0,10,10,300,unbiased,1
37,0,10,10,300,unbiased,2
38,0,10,10,300,unbiased,3
39,0,10,10,300,unbiased,4
50,0,10,100,10,biased,0
51,0,10,100,10,biased,1
52,0,10,100,10,biased,2
53,0,10,100,10,biased,3
54,0,10,100,10,biased,4
55,0,10,100,10,unbiased,0
56,0,10,100,10,unbiased,1
57,0,10,100,10,unbiased,2
58,0,10,100,10,unbiased,3
59,0,10,100,10,unbiased,4
60,0,10,100,30,biased,0
61,0,10,100,30,biased,1
62,0,10,100,30,biased,2
63,0,10,100,30,biased,3
64,0,10,100,30,biased,4
65,0,10,100,30,unbiased,0
66,0,10,100,30,unbiased,1
67,0,10,100,30,unbiased,2
68,0,10,100,30,unbiased,3
69,0,10,100,30,unbiased,4
70,0,10,100,100,biased,0
71,0,10,100,100,biased,1
72,0,10,100,100,biased,2
73,0,10,100,100,biased,3
74,0,10,100,100,biased,4
75,0,10,100,100,unbiased,0
76,0,10,100,100,unbiased,1
77,0,10,100,100,unbiased,2
78,0,10,100,100,unbiased,3
79,0,10,100,100,unbiased,4
80,0,10,100,300,biased,0
81,0,10,100,300,biased,1
82,0,10,100,300,biased,2
83,0,10,100,300,biased,3
84,0,10,100,300,biased,4
